id,name,muscle_group,category,created_at,form_notes,help_url
cf95ab21-d763-4b59-a32c-2bae48a03a1c,Decline Russian Twists,Core,strength,2026-03-02 23:50:57.793365+00,null,null
ecb029d5-ea2f-425a-8782-f42df8abc9fb,decline situp,null,strength,2026-03-22 19:30:34.750511+00,null,null
77f163e9-432b-46d0-b862-11a98e9e9f4a,Diamond + Wide Pushups,Chest,strength,2026-03-02 23:50:57.793365+00,null,null
d405ed82-6a39-4013-ac8c-7a4ada1a4f5d,Dips,Chest,strength,2026-03-02 23:50:57.793365+00,null,null
a2ccc581-cdd3-46fa-9d7b-71aee49f2aba,Dips/Band Flyes,Chest,strength,2026-03-02 23:50:57.793365+00,null,null
bbf96dcd-7134-4afb-bd56-5ccd28737a24,Face Pull,Shoulders,strength,2026-03-01 00:05:46.651691+00,null,null
18be71da-bf4e-459d-9a6c-d58432d5f1ab,Farmer's Walk,Full Body,strength,2026-03-02 23:50:57.793365+00,null,null
2be4ff68-fb19-42cc-afbf-beee30488728,flat bench,null,strength,2026-03-22 23:17:38.207954+00,null,null
607f9637-4ba5-48cc-8034-736b22b5d04e,flat bench press,null,strength,2026-03-22 19:31:23.379368+00,null,null
99f25f33-e9a2-42ad-a230-7fab43488a11,Floor Press + Mod Push-up,Chest,strength,2026-03-02 23:50:57.793365+00,null,null
c83f6c93-4404-4b34-8956-23d07f7d0f20,Flutter Kicks,Core,strength,2026-03-02 23:50:57.793365+00,null,null
d124b685-a77e-44c1-ae80-b39e94bf60d0,Foot Hop,Legs,flexibility,2026-03-21 15:12:29.319069+00,null,null
fa1381de-be3e-44f5-a7bb-d7b12abdf552,Forward Leap,Legs,cardio,2026-03-22 00:40:38.354939+00,null,null
08e94c1d-f306-4734-9610-387b5626b503,Glute Bridge,Glutes,strength,2026-03-02 23:50:57.793365+00,null,null
8d897c23-bfc5-45f3-ab5b-4d3792224a63,Glute Bridge (Pulsing),Glutes,strength,2026-03-02 23:50:57.793365+00,null,null
c7c8c551-9b6a-422c-999f-5e44afa14afe,Glute Bridge Hold,Glutes,strength,2026-03-02 23:50:57.793365+00,null,null
67c1a3ca-078a-4c75-8b65-9d53463579e6,Goblet Lateral Lunge,Legs,strength,2026-03-02 23:50:57.793365+00,null,null
8aed8c66-0166-490d-9a1b-a18c0b50e68b,Hammer Curl,Arms,strength,2026-03-01 00:05:46.651691+00,null,null
dd429076-07dc-48c4-8661-2971840c4090,Hamstring curl,null,strength,2026-03-22 19:55:32.967449+00,null,null
6d0fcc06-23dc-4dd1-bf76-60cfb8726416,Hamstring Curl,Legs,strength,2026-03-02 23:50:57.793365+00,null,null
143eff06-5ce2-4a69-9191-2686cc9b90b7,Hanging Leg Raises,Core,strength,2026-03-02 23:50:57.793365+00,null,null
2106002e-fdc9-4285-a701-91fb8b6fa35f,High Knees (s),Legs,cardio,2026-03-02 23:50:57.793365+00,null,null
96d2129b-2b8b-4284-b565-146fef29e5a3,high row,Back,strength,2026-03-25 12:42:50.155537+00,null,null
18643250-2fc2-4d8a-9d5c-8d5175c18a67,Hip Circles,Hips,flexibility,2026-03-02 23:50:57.793365+00,null,null
248244d3-4ba6-4f58-9772-1b5c0d15472e,Ice Skater Steps,Legs,cardio,2026-03-02 23:50:57.793365+00,null,null
be3a9444-ec1d-4e35-9ba3-f0dfa03d040d,In-Out Jumping Jacks,Full Body,cardio,2026-03-02 23:50:57.793365+00,null,null
c8fca4fc-caa2-4753-9639-4ee7c8d6b945,Inchworm Push-Up,Full Body,strength,2026-03-02 23:50:57.793365+00,null,null
ef3cb3d8-f697-463a-b77e-a4692e2c9c01,Incline Bench Press,Chest,strength,2026-03-01 00:05:46.651691+00,null,null
1b051178-b5a1-4122-8235-cad6594e81fe,Incline Push-up,Chest,strength,2026-03-02 23:50:57.793365+00,null,null
38d791b3-ce58-42e0-a1fb-445e0f5bd0f3,isolated seated row,null,strength,2026-03-24 23:36:24.46184+00,null,null
2d62e96f-48b0-442a-9e47-cc402cf59e94,Jump Rope,Full Body,cardio,2026-03-01 00:05:46.651691+00,null,null
4e62211d-c7e3-46ec-89f1-bed8b48972fe,Jump Squats,Legs,cardio,2026-03-02 23:50:57.793365+00,null,null
68c4185e-06bb-4c36-b162-bfb91d93b987,Jumping Jacks (s),Full Body,cardio,2026-03-02 23:50:57.793365+00,null,null
3e1a074f-5da1-49f8-9f44-3178d9747a04,KB Deadlift,Legs,strength,2026-03-02 23:50:57.793365+00,null,null
73392c4a-fd48-440b-94dd-22e66616b11f,knee raises,null,strength,2026-03-22 19:31:41.742973+00,null,null
31152657-723a-4b30-8262-38d842dcaa2d,Knee to Elbows,Core,strength,2026-03-02 23:50:57.793365+00,null,null
69a4bf0e-0e20-4b65-b3cc-9882a3309062,Knee/Leg Raises,Core,strength,2026-03-02 23:50:57.793365+00,null,null
8ce1f9f7-cc52-4d9d-b530-f64766ffc3e8,Landmine,Full Body,strength,2026-03-02 23:50:57.793365+00,null,null
dabea74e-389c-4fa8-bcd4-a7f9cf2c652b,Landmine Rotation,Core,strength,2026-03-02 23:50:57.793365+00,null,null
07f6c3d0-1757-4f0c-8e81-d3629fb35b9b,Lat Pulldown,Back,strength,2026-03-01 00:05:46.651691+00,null,null
4bc16b71-dffb-4876-ad09-44b6011b9cbb,Lateral Bounds,Legs,cardio,2026-03-02 23:50:57.793365+00,null,null
21203646-8186-4017-916a-258936ec8d13,Lateral Lunge,Legs,strength,2026-03-02 23:50:57.793365+00,null,null
15024e35-53be-4f6c-8641-ef99ef0d5783,Lateral Raise,Shoulders,strength,2026-03-01 00:05:46.651691+00,null,null
544f52ca-98f1-48d9-9a8d-fa7f12e05735,Leg Curl,Legs,strength,2026-03-01 00:05:46.651691+00,null,null
71df72e3-8ced-4795-a005-b7a7671b04d8,leg extension,null,strength,2026-03-22 19:55:05.587752+00,null,null
c895caaf-b8d5-4aed-807c-4cc2b1e226e1,Leg Extension,Legs,strength,2026-03-01 00:05:46.651691+00,null,null
412295da-9c4c-4be5-9912-ec06c1a2ad5c,Leg Press,Legs,strength,2026-03-01 00:05:46.651691+00,null,null
96cbdbec-8e99-4147-aa3a-846681eb2954,Leg Press + Leg Machines,Legs,strength,2026-03-02 23:50:57.793365+00,null,null
b962ea3d-5055-40f6-a951-7d1b59731133,Lunge Ball Throw,Legs,strength,2026-03-21 15:12:57.122709+00,null,null
ac37e8b1-2813-4760-8da8-17d07f1e3333,Lunge with Twist,Legs,strength,2026-03-02 23:50:57.793365+00,null,null
f80f59e5-c30d-4f0c-a897-eb02435e9592,Lunges,Legs,strength,2026-03-01 00:05:46.651691+00,null,null
